Open,High,Low,Close,Volume
107.844,108.433,107.682,108.143,34151
108.139,108.903,108.1,108.837,32615
108.836,109.539,108.744,109.382,27102
109.385,109.727,108.89,109.63,28184
109.634,109.668,108.594,108.698,16666
108.136,108.453,107.829,108.002,14465
107.998,109.214,107.881,109.082,28150
109.082,109.482,108.783,108.931,27591
108.927,109.888,108.756,109.798,26553
109.8,109.825,109.251,109.363,33336
109.367,111.8,109.326,111.757,37367
111.815,111.86,111.033,111.293,13752
111.291,111.343,110.833,110.917,31392
110.921,111.467,110.664,111.061,28137
111.063,111.876,108.721,109.383,60110
109.382,109.384,107.065,107.331,63365
107.325,107.409,106.256,106.291,37497
106.194,106.715,106.13,106.531,19358
106.531,106.812,106.04,106.165,27436
106.163,107.426,105.543,107.301,40324
107.301,107.303,106.237,107.121,35588
107.117,107.491,106.795,107.085,26362
107.081,107.256,106.429,107.097,30541
107.036,107.624,107.03,107.309,8547
107.31,108.822,107.281,108.722,30853
108.72,109.364,108.605,108.791,30174
108.789,108.889,108.219,108.638,27246
108.65,109.388,108.615,108.77,33754
108.77,109.531,108.509,108.595,29313
108.606,108.977,108.452,108.955,9616
108.953,109.099,108.633,108.917,21072
108.917,109.647,108.714,109.22,33043
109.222,110.266,109.004,110.02,36139
110.019,110.377,109.691,110.024,31671
110.021,110.581,110.017,110.065,18863
110.095,110.229,109.631,109.837,8050
109.836,109.944,109.104,109.383,26554
109.384,110.183,109.164,109.88,23410
109.884,110.441,109.409,109.697,28457
109.696,110.199,109.523,109.899,27817
109.901,110.44,109.465,110.233,18835
110.359,111.02,110.352,110.998,10909
110.998,111.44,110.79,111.287,19879
111.284,111.344,110.403,110.593,28192
110.591,110.759,108.814,108.948,52831
108.945,109.31,108.518,108.827,37882
108.823,109.016,106.484,106.485,46278
106.539,107.177,106.339,107.043,16588
107.046,107.878,106.828,107.813,40056
107.813,107.898,106.715,107.197,33916
107.199,107.217,106.511,106.626,35462
106.63,107.248,106.247,106.977,34238
106.98,107.166,106.549,106.942,28468
