Date,CURRFX.NZDCHF.1
2012-06-17,0.748033
2012-06-16,0.745329
2012-06-15,0.743895
2012-06-14,0.744628
2012-06-13,0.741974
2012-06-12,0.73976
2012-06-11,0.739507
2012-06-10,0.737871
2012-06-09,0.735956
2012-06-08,0.735223
2012-06-07,0.731369
2012-06-06,0.728258
2012-06-05,0.728681
2012-06-04,0.729506
2012-06-03,0.729506
2012-06-02,0.73073
2012-06-01,0.73157
2012-05-31,0.731399
2012-05-30,0.729514
2012-05-29,0.7264
2012-05-28,0.723427
2012-05-27,0.723448
2012-05-26,0.721995
2012-05-25,0.716652
2012-05-24,0.71487
2012-05-23,0.716116
2012-05-22,0.712685
2012-05-21,0.711061
2012-05-20,0.713157
2012-05-19,0.719123
2012-05-18,0.723098
2012-05-17,0.724553
2012-05-16,0.726902
2012-05-15,0.727889
2012-05-14,0.728415
2012-05-13,0.728152
2012-05-12,0.728921
2012-05-11,0.72862
2012-05-10,0.728142
2012-05-09,0.730797
2012-05-08,0.732031
2012-05-07,0.730763
2012-05-06,0.730594
2012-05-05,0.731978
2012-05-04,0.736946
2012-05-03,0.740296
2012-05-02,0.741738
2012-05-01,0.744957
2012-04-30,0.745361
2012-04-29,0.74401
2012-04-28,0.741522
2012-04-27,0.740478
2012-04-26,0.740472
2012-04-25,0.742077
2012-04-24,0.743524
2012-04-23,0.744265
2012-04-22,0.74392
2012-04-21,0.745064
2012-04-20,0.748898
2012-04-19,0.750725
2012-04-18,0.752127
2012-04-17,0.756058
2012-04-16,0.756829
2012-04-15,0.756852
2012-04-14,0.755343
2012-04-13,0.751043
2012-04-12,0.749865
2012-04-11,0.751396
2012-04-10,0.75212
2012-04-09,0.75144
2012-04-08,0.751425
2012-04-07,0.750345
2012-04-06,0.747559
2012-04-05,0.744744
2012-04-04,0.743012
2012-04-03,0.740757
2012-04-02,0.738751
2012-04-01,0.73921
2012-03-31,0.740046
2012-03-30,0.739794
2012-03-29,0.74152
2012-03-28,0.743123
2012-03-27,0.742877
2012-03-26,0.742234
2012-03-25,0.742234
2012-03-24,0.740362
2012-03-23,0.741309
2012-03-22,0.745972
2012-03-21,0.751114
2012-03-20,0.755335
2012-03-19,0.755497
2012-03-18,0.755497
2012-03-17,0.755789
2012-03-16,0.755091
2012-03-15,0.755213
2012-03-14,0.753171
2012-03-13,0.752714
2012-03-12,0.754736
2012-03-11,0.753775
2012-03-10,0.751194
2012-03-09,0.749679
2012-03-08,0.748224
2012-03-07,0.749092
2012-03-06,0.755469
2012-03-05,0.758062
2012-03-04,0.75855
2012-03-03,0.758259
2012-03-02,0.755861
2012-03-01,0.754025
2012-02-29,0.751763
2012-02-28,0.749825
2012-02-27,0.749164
2012-02-26,0.750529
2012-02-25,0.753406
2012-02-24,0.756013
2012-02-23,0.760296
2012-02-22,0.764727
2012-02-21,0.767378
2012-02-20,0.76644
2012-02-19,0.766561
2012-02-18,0.767764
2012-02-17,0.768452
2012-02-16,0.767487
2012-02-15,0.762618
2012-02-14,0.760125
2012-02-13,0.757665
2012-02-12,0.757985
2012-02-11,0.759654
2012-02-10,0.76218
2012-02-09,0.764337
2012-02-08,0.766416
2012-02-07,0.76724
2012-02-06,0.767564
2012-02-05,0.766315
2012-02-04,0.764085
2012-02-03,0.762405
2012-02-02,0.758757
2012-02-01,0.753866
2012-01-31,0.751918
2012-01-30,0.752737
2012-01-29,0.753985
2012-01-28,0.755057
2012-01-27,0.753153
2012-01-26,0.751682
2012-01-25,0.752484
2012-01-24,0.754174
2012-01-23,0.753761
2012-01-22,0.752351
2012-01-21,0.75071
2012-01-20,0.755075
2012-01-19,0.759396
2012-01-18,0.758333
2012-01-17,0.75714
2012-01-16,0.756662
2012-01-15,0.754497
2012-01-14,0.752606
2012-01-13,0.756091
2012-01-12,0.754855
2012-01-11,0.750104
2012-01-10,0.746545
2012-01-09,0.745765
