Date,CURRFX.AUDCHF.1
2012-05-03,0.940621
2012-05-02,0.942402
2012-05-01,0.947939
2012-04-30,0.946718
2012-04-27,0.941569
2012-04-26,0.939672
2012-04-25,0.940353
2012-04-24,0.943051
2012-04-23,0.945698
2012-04-20,0.949675
2012-04-19,0.950553
2012-04-18,0.950335
2012-04-17,0.953362
2012-04-16,0.952483
2012-04-13,0.947534
2012-04-12,0.943627
2012-04-11,0.944984
2012-04-10,0.94543
2012-04-09,0.944616
2012-04-06,0.942286
2012-04-05,0.939022
2012-04-04,0.939215
2012-04-03,0.938163
2012-04-02,0.936541
2012-03-30,0.940234
2012-03-29,0.945075
2012-03-28,0.950357
2012-03-27,0.95095
2012-03-26,0.950322
2012-03-23,0.951501
2012-03-22,0.956852
2012-03-21,0.964105
2012-03-20,0.969764
2012-03-19,0.970845
2012-03-16,0.972762
2012-03-15,0.970722
2012-03-14,0.967236
2012-03-13,0.968991
2012-03-12,0.970647
2012-03-09,0.969713
2012-03-08,0.969713
2012-03-07,0.973382
2012-03-06,0.978775
2012-03-05,0.978472
2012-03-02,0.971895
2012-03-01,0.9677
2012-02-29,0.96362
2012-02-28,0.959361
2012-02-27,0.961968
2012-02-24,0.96911
2012-02-23,0.972931
2012-02-22,0.978809
2012-02-21,0.984825
2012-02-20,0.987766
2012-02-17,0.988851
2012-02-16,0.98469
2012-02-15,0.98147
2012-02-14,0.979932
2012-02-13,0.980635
2012-02-10,0.985068
2012-02-09,0.987277
2012-02-08,0.988741
2012-02-07,0.988643
2012-02-06,0.986046
2012-02-03,0.980603
2012-02-02,0.976761
2012-02-01,0.972554
2012-01-31,0.971031
2012-01-30,0.97477
2012-01-27,0.977219
2012-01-26,0.974853
2012-01-25,0.975936
2012-01-24,0.980127
2012-01-23,0.978381
2012-01-20,0.977916
2012-01-19,0.984008
2012-01-18,0.985225
2012-01-17,0.982083
2012-01-16,0.982083
2012-01-13,0.980337
2012-01-12,0.979241
2012-01-11,0.975872
2012-01-10,0.97478
2012-01-09,0.976273
2012-01-06,0.972665
2012-01-05,0.968042
2012-01-04,0.963849
2012-01-03,0.959684
2012-01-02,0.955461
2011-12-30,0.951196
2011-12-29,0.949981
2011-12-28,0.950317
2011-12-27,0.950908
2011-12-26,0.948872
2011-12-23,0.944756
2011-12-22,0.938763
2011-12-21,0.931905
2011-12-20,0.932397
2011-12-19,0.93645
2011-12-16,0.941579
2011-12-15,0.945948
2011-12-14,0.94483
2011-12-13,0.942822
2011-12-12,0.945345
2011-12-09,0.948976
2011-12-08,0.948188
2011-12-07,0.944758
2011-12-06,0.942955
2011-12-05,0.938622
2011-12-02,0.931115
2011-12-01,0.923829
2011-11-30,0.916597
2011-11-29,0.910074
2011-11-28,0.900063
2011-11-25,0.894277
2011-11-24,0.897169
2011-11-23,0.905088
2011-11-22,0.913051
