Date,CURRFX.EURNZD.1
2011-02-08,1.76348
2011-02-07,1.76991
2011-02-04,1.77605
2011-02-03,1.77106
2011-02-02,1.77083
2011-02-01,1.76511
2011-01-31,1.76572
2011-01-28,1.77805
2011-01-27,1.78309
2011-01-26,1.7865
2011-01-25,1.79284
2011-01-24,1.78496
2011-01-21,1.75609
2011-01-20,1.73529
2011-01-19,1.72909
2011-01-18,1.73553
2011-01-17,1.73834
2011-01-14,1.71993
2011-01-13,1.70992
2011-01-12,1.7019
2011-01-11,1.69794
2011-01-10,1.7102
2011-01-07,1.73109
2011-01-06,1.73393
2011-01-05,1.72814
2011-01-04,1.71672
2011-01-03,1.71872
2010-12-31,1.72519
2010-12-30,1.73632
2010-12-29,1.75294
2010-12-28,1.75491
2010-12-27,1.75486
2010-12-24,1.76124
2010-12-23,1.76555
2010-12-22,1.77066
2010-12-21,1.78284
2010-12-20,1.79097
2010-12-17,1.78854
2010-12-16,1.7827
2010-12-15,1.77566
2010-12-14,1.76765
2010-12-13,1.77131
2010-12-10,1.76812
2010-12-09,1.75659
2010-12-08,1.74876
2010-12-07,1.74973
2010-12-06,1.75095
2010-12-03,1.75062
2010-12-02,1.75252
2010-12-01,1.75783
2010-11-30,1.76428
2010-11-29,1.76177
2010-11-26,1.75528
2010-11-25,1.75839
2010-11-24,1.76406
2010-11-23,1.76244
2010-11-22,1.75585
2010-11-19,1.7564
2010-11-18,1.75902
2010-11-17,1.76237
2010-11-16,1.76709
2010-11-15,1.76378
2010-11-12,1.75903
2010-11-11,1.76639
2010-11-10,1.76711
2010-11-09,1.76678
2010-11-08,1.77525
2010-11-05,1.80285
2010-11-04,1.81524
2010-11-03,1.8176
2010-11-02,1.81954
2010-11-01,1.82967
2010-10-29,1.84806
2010-10-28,1.85191
2010-10-27,1.85547
2010-10-26,1.86306
2010-10-25,1.86647
2010-10-22,1.8571
2010-10-21,1.84752
2010-10-20,1.8458
2010-10-19,1.84652
2010-10-18,1.84993
2010-10-15,1.84701
2010-10-14,1.84012
2010-10-13,1.8448
2010-10-12,1.84748
2010-10-11,1.84681
2010-10-08,1.84903
2010-10-07,1.84842
2010-10-06,1.84977
2010-10-05,1.84998
2010-10-04,1.85178
2010-10-01,1.84759
2010-09-30,1.84033
2010-09-29,1.8342
2010-09-28,1.83496
2010-09-27,1.83437
