Date,CURRFX.EURJPY.1
2010-08-25,107.25
2010-08-24,108.473
2010-08-23,109.118
2010-08-20,109.717
2010-08-19,109.889
2010-08-18,109.828
2010-08-17,109.743
2010-08-16,109.959
2010-08-13,110.252
2010-08-12,111.455
2010-08-11,113.074
2010-08-10,113.578
2010-08-09,113.465
2010-08-06,113.258
2010-08-05,113.351
2010-08-04,113.607
2010-08-03,113.29
2010-08-02,113.187
2010-07-30,113.829
2010-07-29,113.905
2010-07-28,113.383
2010-07-27,112.871
2010-07-26,112.375
2010-07-23,111.609
2010-07-22,112.013
2010-07-21,112.474
2010-07-20,112.237
2010-07-19,112.19
2010-07-16,112.682
2010-07-15,112.329
2010-07-14,111.65
2010-07-13,111.741
2010-07-12,111.956
2010-07-09,111.165
2010-07-08,110.197
2010-07-07,110.307
2010-07-06,110.122
2010-07-05,109.642
2010-07-02,108.594
2010-07-01,108.404
2010-06-30,108.971
2010-06-29,110.258
2010-06-28,110.34
2010-06-25,110.46
2010-06-24,110.985
2010-06-23,111.946
2010-06-22,112.641
2010-06-21,112.396
2010-06-18,112.486
2010-06-17,112.367
2010-06-16,112.133
2010-06-15,111.803
2010-06-14,110.674
2010-06-11,109.916
2010-06-10,109.461
2010-06-09,109.342
2010-06-08,109.69
2010-06-07,111.276
2010-06-04,112.876
2010-06-03,111.961
2010-06-02,111.719
2010-06-01,112.147
2010-05-31,111.608
2010-05-28,111.125
2010-05-27,110.441
2010-05-26,110.831
2010-05-25,112.579
2010-05-24,112.87
2010-05-21,112.339
2010-05-20,113.165
2010-05-19,114.142
2010-05-18,113.959
2010-05-17,115.353
2010-05-14,117.324
2010-05-13,117.713
