Date,CURRFX.USDCHF.1
2012-12-27,0.915066
2012-12-26,0.914413
2012-12-25,0.914413
2012-12-24,0.914413
2012-12-21,0.912325
2012-12-20,0.913548
2012-12-19,0.916956
2012-12-18,0.917945
2012-12-17,0.920795
2012-12-14,0.927272
2012-12-13,0.931523
2012-12-12,0.933943
2012-12-11,0.932413
2012-12-10,0.932413
2012-12-07,0.927844
2012-12-06,0.926658
2012-12-05,0.926219
2012-12-04,0.926734
2012-12-03,0.928317
2012-11-30,0.929619
2012-11-29,0.930474
2012-11-28,0.928593
2012-11-27,0.928593
2012-11-26,0.931461
2012-11-23,0.938407
2012-11-22,0.941918
2012-11-21,0.941918
2012-11-20,0.944115
2012-11-19,0.944904
2012-11-16,0.944592
2012-11-15,0.946946
2012-11-14,0.948544
2012-11-13,0.948341
2012-11-12,0.947712
2012-11-09,0.944857
2012-11-08,0.943237
2012-11-07,0.943147
2012-11-06,0.941713
2012-11-05,0.937362
2012-11-02,0.931549
2012-11-01,0.932229
2012-10-31,0.934993
2012-10-30,0.935709
2012-10-29,0.933853
2012-10-26,0.932651
2012-10-25,0.932009
2012-10-24,0.928764
2012-10-23,0.927495
2012-10-22,0.926207
2012-10-19,0.923161
2012-10-18,0.925655
2012-10-17,0.931368
2012-10-16,0.933898
2012-10-15,0.934989
2012-10-12,0.938575
2012-10-11,0.938897
2012-10-10,0.935117
2012-10-09,0.931564
2012-10-08,0.931673
2012-10-05,0.936156
2012-10-04,0.937403
2012-10-03,0.937954
2012-10-02,0.93984
2012-10-01,0.939514
2012-09-28,0.938991
2012-09-27,0.938038
2012-09-26,0.935664
2012-09-25,0.934602
2012-09-24,0.932488
2012-09-21,0.930197
2012-09-20,0.927881
2012-09-19,0.927422
2012-09-18,0.926964
2012-09-17,0.930653
2012-09-14,0.937685
2012-09-13,0.939938
2012-09-12,0.944055
2012-09-11,0.945044
2012-09-10,0.948122
2012-09-07,0.955882
2012-09-06,0.955829
2012-09-05,0.954205
2012-09-04,0.954858
2012-09-03,0.956397
2012-08-31,0.957851
2012-08-30,0.957718
2012-08-29,0.95923
2012-08-28,0.958806
2012-08-27,0.958806
2012-08-24,0.959267
2012-08-23,0.964766
2012-08-22,0.970104
2012-08-21,0.973737
2012-08-20,0.974593
2012-08-17,0.975937
2012-08-16,0.974982
2012-08-15,0.973984
2012-08-14,0.976012
2012-08-13,0.975805
2012-08-10,0.972705
2012-08-09,0.969915
2012-08-08,0.968857
2012-08-07,0.969885
2012-08-06,0.974892
2012-08-03,0.98056
2012-08-02,0.977438
2012-08-01,0.978214
2012-07-31,0.9772
2012-07-30,0.97872
2012-07-27,0.987265
2012-07-26,0.99221
2012-07-25,0.992102
2012-07-24,0.99012
2012-07-23,0.984655
2012-07-20,0.978285
2012-07-19,0.978604
2012-07-18,0.979448
2012-07-17,0.980968
2012-07-16,0.981481
2012-07-13,0.981998
2012-07-12,0.978843
2012-07-11,0.977247
2012-07-10,0.977299
2012-07-09,0.972503
2012-07-06,0.960215
2012-07-05,0.954933
2012-07-04,0.953253
2012-07-03,0.950815
2012-07-02,0.954615
2012-06-29,0.963253
2012-06-28,0.961666
2012-06-27,0.960516
2012-06-26,0.958118
2012-06-25,0.953323
2012-06-22,0.948749
2012-06-21,0.948129
2012-06-20,0.950406
2012-06-19,0.949671
2012-06-18,0.951789
2012-06-15,0.956111
2012-06-14,0.959654
2012-06-13,0.95908
2012-06-12,0.956311
2012-06-11,0.957499
2012-06-08,0.957247
2012-06-07,0.961464
2012-06-06,0.963865
2012-06-05,0.965809
2012-06-04,0.967749
2012-06-01,0.96827
2012-05-31,0.963029
2012-05-30,0.958303
2012-05-29,0.957426
2012-05-28,0.957842
2012-05-25,0.953666
2012-05-24,0.94677
2012-05-23,0.940453
2012-05-22,0.939923
2012-05-21,0.941637
2012-05-18,0.944214
2012-05-17,0.941568
2012-05-16,0.935944
2012-05-15,0.93208
2012-05-14,0.929064
2012-05-11,0.927104
2012-05-10,0.924758
2012-05-09,0.922497
2012-05-08,0.921308
2012-05-07,0.91679
2012-05-04,0.912988
2012-05-03,0.909718
2012-05-02,0.907399
2012-05-01,0.907221
2012-04-30,0.907162
2012-04-27,0.909102
2012-04-26,0.910939
2012-04-25,0.912647
2012-04-24,0.91164
2012-04-23,0.911786
2012-04-20,0.916361
2012-04-19,0.916275
2012-04-18,0.917602
2012-04-17,0.920591
2012-04-16,0.917861
2012-04-13,0.915455
2012-04-12,0.9171
2012-04-11,0.917973
2012-04-10,0.917945
2012-04-09,0.917204
2012-04-06,0.916211
2012-04-05,0.910287
2012-04-04,0.903337
2012-04-03,0.90269
2012-04-02,0.903839
2012-03-30,0.90569
2012-03-29,0.904371
2012-03-28,0.905084
2012-03-27,0.907585
2012-03-26,0.910047
2012-03-23,0.912372
2012-03-22,0.911274
2012-03-21,0.913284
2012-03-20,0.915326
2012-03-19,0.919962
2012-03-16,0.927309
2012-03-15,0.923827
2012-03-14,0.918699
2012-03-13,0.919095
2012-03-12,0.916823
2012-03-09,0.914822
2012-03-08,0.916799
2012-03-07,0.914641
2012-03-06,0.913716
2012-03-05,0.910523
2012-03-02,0.901649
2012-03-01,0.897116
2012-02-29,0.897335
2012-02-28,0.896875
2012-02-27,0.900505
2012-02-24,0.909114
2012-02-23,0.911927
2012-02-22,0.912438
2012-02-21,0.915715
2012-02-20,0.921694
2012-02-17,0.92339
2012-02-16,0.919129
2012-02-15,0.916396
2012-02-14,0.914768
2012-02-13,0.914938
2012-02-10,0.912182
2012-02-09,0.914545
2012-02-08,0.919404
2012-02-07,0.920454
2012-02-06,0.917596
2012-02-03,0.91692
2012-02-02,0.917575
2012-02-01,0.916409
2012-01-31,0.915227
2012-01-30,0.915525
2012-01-27,0.923179
2012-01-26,0.928499
2012-01-25,0.92987
2012-01-24,0.93358
2012-01-23,0.935836
2012-01-20,0.940353
2012-01-19,0.947192
2012-01-18,0.951951
2012-01-17,0.95376
2012-01-16,0.95156
2012-01-13,0.950936
2012-01-12,0.950924
2012-01-11,0.950717
2012-01-10,0.954692
2012-01-09,0.95207
2012-01-06,0.942734
2012-01-05,0.93645
2012-01-04,0.937615
2012-01-03,0.939161
2012-01-02,0.940026
2011-12-30,0.940669
2011-12-29,0.935744
2011-12-28,0.935449
2011-12-27,0.936194
2011-12-26,0.936313
2011-12-23,0.93429
2011-12-22,0.932462
2011-12-21,0.935054
2011-12-20,0.936646
2011-12-19,0.940563
2011-12-16,0.947406
2011-12-15,0.94414
2011-12-14,0.935346
2011-12-13,0.927429
2011-12-12,0.923915
2011-12-09,0.925013
2011-12-08,0.925093
2011-12-07,0.922859
2011-12-06,0.920825
2011-12-05,0.918254
2011-12-02,0.914994
2011-12-01,0.919301
2011-11-30,0.922495
2011-11-29,0.926382
2011-11-28,0.925781
2011-11-25,0.918283
2011-11-24,0.9162
2011-11-23,0.916165
2011-11-22,0.917308
2011-11-21,0.917807
2011-11-18,0.91901
2011-11-17,0.91598
2011-11-16,0.909427
2011-11-15,0.901729
2011-11-14,0.903269
2011-11-11,0.905589
2011-11-10,0.900346
2011-11-09,0.89859
2011-11-08,0.891865
2011-11-07,0.884708
2011-11-04,0.884069
2011-11-03,0.884624
