Date,BCB.UDJIAD1.1
2012-02-16,12904.08
2012-02-15,12780.95
2012-02-14,12878.28
2012-02-13,12874.04
2012-02-10,12801.23
2012-02-09,12890.46
2012-02-08,12883.95
2012-02-07,12878.2
2012-02-06,12845.13
2012-02-03,12862.23
2012-02-02,12705.41
2012-02-01,12716.46
2012-01-31,12632.91
2012-01-30,12653.72
2012-01-27,12660.46
2012-01-26,12734.63
2012-01-25,12756.96
2012-01-24,12675.75
2012-01-23,12708.82
2012-01-20,12720.48
2012-01-19,12623.98
2012-01-18,12578.95
2012-01-17,12482.07
2012-01-13,12422.06
2012-01-12,12471.02
2012-01-11,12449.45
2012-01-10,12462.47
2012-01-09,12392.69
2012-01-06,12359.92
2012-01-05,12415.7
2012-01-04,12418.42
2012-01-03,12397.38
2011-12-30,12217.56
2011-12-29,12287.04
2011-12-28,12151.41
2011-12-27,12291.35
2011-12-23,12294.0
2011-12-22,12169.65
2011-12-21,12107.74
2011-12-20,12103.58
2011-12-19,11766.26
2011-12-16,11866.39
2011-12-15,11868.81
2011-12-14,11823.48
2011-12-13,11954.94
2011-12-12,12021.39
2011-12-09,12184.26
2011-12-08,11997.7
2011-12-07,12196.37
2011-12-06,12150.13
2011-12-05,12097.83
2011-12-02,12019.42
2011-12-01,12020.03
2011-11-30,12045.68
2011-11-29,11555.63
2011-11-28,11523.01
2011-11-25,11231.78
2011-11-23,11257.55
2011-11-22,11493.72
2011-11-21,11547.31
2011-11-18,11796.16
2011-11-17,11770.73
2011-11-16,11905.59
2011-11-15,12096.16
2011-11-14,12078.98
2011-11-11,12153.68
2011-11-10,11893.79
2011-11-09,11780.94
2011-11-08,12170.18
2011-11-07,12068.39
2011-11-04,11983.24
2011-11-03,12044.47
2011-11-02,11836.04
2011-11-01,11657.96
2011-10-31,11955.01
2011-10-28,12231.11
2011-10-27,12208.55
2011-10-26,11869.04
2011-10-25,11706.62
2011-10-24,11913.62
2011-10-21,11808.79
2011-10-20,11541.78
2011-10-19,11504.62
2011-10-18,11577.05
2011-10-17,11397.0
2011-10-14,11644.49
2011-10-13,11478.13
2011-10-12,11518.85
2011-10-11,11416.3
2011-10-10,11433.18
2011-10-07,11103.12
2011-10-06,11123.33
2011-10-05,10939.95
2011-10-04,10808.71
2011-10-03,10655.3
2011-09-30,10913.38
2011-09-29,11153.98
2011-09-28,11010.9
2011-09-27,11190.69
2011-09-26,11043.86
2011-09-23,10771.48
2011-09-22,10733.83
2011-09-21,11124.84
2011-09-20,11408.66
2011-09-19,11401.01
2011-09-16,11509.09
2011-09-15,11433.18
2011-09-14,11246.73
2011-09-13,11105.85
2011-09-12,11061.12
2011-09-09,10992.13
2011-09-08,11295.81
2011-09-07,11414.86
2011-09-06,11139.3
2011-09-02,11240.26
2011-09-01,11493.57
2011-08-31,11613.53
2011-08-30,11559.95
2011-08-29,11539.25
2011-08-26,11284.54
2011-08-25,11149.82
2011-08-24,11320.71
2011-08-23,11176.76
2011-08-22,10854.65
2011-08-19,10817.65
2011-08-18,10990.58
2011-08-17,11410.21
2011-08-16,11405.93
2011-08-15,11482.9
2011-08-12,11269.02
2011-08-11,11143.31
2011-08-10,10719.94
2011-08-09,11239.77
2011-08-08,10809.85
2011-08-05,11444.61
2011-08-04,11383.68
2011-08-03,11896.44
2011-08-02,11866.62
2011-08-01,12132.49
2011-07-29,12143.24
2011-07-28,12240.11
2011-07-27,12302.55
2011-07-26,12501.3
2011-07-25,12592.8
2011-07-22,12681.16
2011-07-21,12724.41
2011-07-20,12571.91
2011-07-19,12587.42
2011-07-18,12385.16
2011-07-15,12479.73
2011-07-14,12437.12
2011-07-13,12491.61
2011-07-12,12446.88
2011-07-11,12505.76
2011-07-08,12657.2
2011-07-07,12719.49
