Date,CURRFX.AUDUSD.1
2011-06-10,1.0625
2011-06-09,1.06759
2011-06-08,1.07231
2011-06-07,1.07289
2011-06-06,1.06876
2011-06-03,1.06646
2011-06-02,1.07004
2011-06-01,1.06905
2011-05-31,1.06988
2011-05-30,1.06651
2011-05-27,1.05573
2011-05-26,1.05245
2011-05-25,1.05482
2011-05-24,1.05938
2011-05-23,1.06548
2011-05-20,1.06377
2011-05-19,1.06041
2011-05-18,1.05755
2011-05-17,1.05714
2011-05-16,1.05996
2011-05-13,1.07067
2011-05-12,1.08047
2011-05-11,1.07753
2011-05-10,1.07348
2011-05-09,1.0697
2011-05-06,1.07362
2011-05-05,1.08469
2011-05-04,1.09199
2011-05-03,1.09629
2011-05-02,1.0946
2011-04-29,1.08741
2011-04-28,1.07881
2011-04-27,1.07342
2011-04-26,1.07337
2011-04-25,1.07373
2011-04-22,1.06957
2011-04-21,1.0571
2011-04-20,1.05072
2011-04-19,1.05434
2011-04-18,1.05448
2011-04-15,1.05006
2011-04-14,1.04774
2011-04-13,1.04989
2011-04-12,1.05529
2011-04-11,1.05265
2011-04-08,1.04318
2011-04-07,1.0364
2011-04-06,1.03495
2011-04-05,1.03797
2011-04-04,1.03691
2011-04-01,1.0328
2011-03-31,1.02879
2011-03-30,1.02554
2011-03-29,1.02624
2011-03-28,1.0219
2011-03-25,1.01404
2011-03-24,1.00975
2011-03-23,1.00652
2011-03-22,0.999735
2011-03-21,0.990808
2011-03-18,0.984636
2011-03-17,0.992053
2011-03-16,1.00022
2011-03-15,1.01077
2011-03-14,1.0103
2011-03-11,1.00663
2011-03-10,1.00996
2011-03-09,1.01195
2011-03-08,1.01465
2011-03-07,1.01465
2011-03-04,1.01488
2011-03-03,1.01475
2011-03-02,1.01695
2011-03-01,1.01668
2011-02-28,1.01305
2011-02-25,1.00442
2011-02-24,1.00202
2011-02-23,1.00625
2011-02-22,1.01258
2011-02-21,1.0113
2011-02-18,1.00298
2011-02-17,1.00006
2011-02-16,1.00212
2011-02-15,1.00246
2011-02-14,1.00352
2011-02-11,1.00859
2011-02-10,1.01343
2011-02-09,1.01454
2011-02-08,1.01372
2011-02-07,1.01295
2011-02-04,1.01121
2011-02-03,1.0081
2011-02-02,1.00069
2011-02-01,0.993573
2011-01-31,0.993875
2011-01-28,0.995223
2011-01-27,0.995888
2011-01-26,0.993506
2011-01-25,0.990921
2011-01-24,0.990822
2011-01-21,0.996954
2011-01-20,1.00019
2011-01-19,0.994201
2011-01-18,0.990474
2011-01-17,0.992166
2011-01-14,0.993846
2011-01-13,0.988335
2011-01-12,0.989392
2011-01-11,0.994351
2011-01-10,0.996285
2011-01-07,0.999053
2011-01-06,1.00454
2011-01-05,1.01348
2011-01-04,1.02109
2011-01-03,1.02031
2010-12-31,1.01491
2010-12-30,1.01141
2010-12-29,1.00688
2010-12-28,1.00326
2010-12-27,1.00327
2010-12-24,1.00072
2010-12-23,0.997372
2010-12-22,0.993782
2010-12-21,0.989454
2010-12-20,0.987688
2010-12-17,0.989413
2010-12-16,0.994828
2010-12-15,0.994175
2010-12-14,0.987521
2010-12-13,0.984936
2010-12-10,0.982746
2010-12-09,0.984319
2010-12-08,0.990175
2010-12-07,0.990342
2010-12-06,0.983528
2010-12-03,0.966146
2010-12-02,0.961647
2010-12-01,0.962071
2010-11-30,0.964134
2010-11-29,0.970556
2010-11-26,0.979954
2010-11-25,0.979952
2010-11-24,0.984864
2010-11-23,0.988851
2010-11-22,0.986153
2010-11-19,0.982438
2010-11-18,0.979137
2010-11-17,0.983689
2010-11-16,0.986048
2010-11-15,0.991216
2010-11-12,1.00254
2010-11-11,1.0067
2010-11-10,1.01214
2010-11-09,1.01379
2010-11-08,1.0135
2010-11-05,1.00482
2010-11-04,0.997468
2010-11-03,0.992884
2010-11-02,0.98605
2010-11-01,0.981388
2010-10-29,0.975102
2010-10-28,0.977052
2010-10-27,0.989946
2010-10-26,0.989959
2010-10-25,0.983395
2010-10-22,0.982351
2010-10-21,0.980109
2010-10-20,0.982649
2010-10-19,0.989234
2010-10-18,0.992473
2010-10-15,0.99261
2010-10-14,0.986234
2010-10-13,0.983121
2010-10-12,0.985218
2010-10-11,0.985323
2010-10-08,0.98164
2010-10-07,0.970644
2010-10-06,0.965327
2010-10-05,0.969813
2010-10-04,0.970882
2010-10-01,0.968591
2010-09-30,0.967184
2010-09-29,0.962046
2010-09-28,0.960037
