Date,CURRFX.CADJPY.1
2012-11-15,79.5842
2012-11-14,79.4014
2012-11-13,79.4422
2012-11-12,79.3851
2012-11-11,79.3851
2012-11-10,79.6428
2012-11-09,80.2993
2012-11-08,80.6899
2012-11-07,80.6507
2012-11-06,80.7135
2012-11-05,80.7761
2012-11-04,80.7184
2012-11-03,80.4318
2012-11-02,79.9827
2012-11-01,79.7178
2012-10-31,79.6518
2012-10-30,79.7865
2012-10-29,79.8838
2012-10-28,80.0239
2012-10-27,80.3872
2012-10-26,80.572
2012-10-25,80.4315
2012-10-24,80.3016
2012-10-23,80.0191
2012-10-22,79.8239
2012-10-21,79.9807
2012-10-20,80.4725
2012-10-19,80.5278
2012-10-18,80.1092
2012-10-17,80.211
2012-10-16,80.1765
2012-10-15,80.0364
2012-10-14,80.061
2012-10-13,80.0039
2012-10-12,79.8674
2012-10-11,80.0326
2012-10-10,80.1877
2012-10-09,80.273
2012-10-08,80.3962
2012-10-07,80.3187
2012-10-06,80.0284
2012-10-05,79.617
2012-10-04,79.4489
2012-10-03,79.4097
2012-10-02,79.2647
2012-10-01,79.2124
2012-09-30,79.2124
2012-09-29,79.1354
2012-09-28,79.0718
2012-09-27,79.2692
2012-09-26,79.5658
2012-09-25,79.8211
2012-09-24,80.1058
2012-09-23,80.1058
2012-09-22,80.1335
2012-09-21,80.3383
2012-09-20,80.7501
2012-09-19,80.7092
2012-09-18,80.7083
2012-09-17,80.6008
2012-09-16,80.6008
2012-09-15,80.1834
2012-09-14,79.7555
2012-09-13,79.9968
2012-09-12,80.0693
2012-09-11,80.0054
2012-09-10,80.0369
2012-09-09,80.0369
2012-09-08,79.9922
2012-09-07,79.4921
2012-09-06,79.4096
2012-09-05,79.4736
2012-09-04,79.4237
2012-09-03,79.4671
2012-09-02,79.3949
2012-09-01,79.2844
2012-08-31,79.4173
2012-08-30,79.5011
2012-08-29,79.4474
2012-08-28,79.4035
2012-08-27,79.238
2012-08-26,79.238
2012-08-25,79.1822
2012-08-24,79.4828
2012-08-23,80.0677
2012-08-22,80.3962
2012-08-21,80.4013
2012-08-20,80.4162
2012-08-19,80.2959
2012-08-18,80.2959
2012-08-17,79.906
2012-08-16,79.4039
2012-08-15,79.0898
2012-08-14,78.9451
2012-08-13,78.9894
2012-08-12,78.9894
2012-08-11,79.024
2012-08-10,78.9273
2012-08-09,78.6572
2012-08-08,78.4419
2012-08-07,78.331
2012-08-06,78.2524
2012-08-05,78.2524
2012-08-04,78.0352
2012-08-03,77.9545
2012-08-02,78.0046
2012-08-01,78.0317
2012-07-31,78.0714
2012-07-30,78.0018
2012-07-29,78.0018
2012-07-28,77.5186
2012-07-27,77.017
2012-07-26,76.7235
2012-07-25,76.853
2012-07-24,77.1895
2012-07-23,77.4937
2012-07-22,77.6246
2012-07-21,77.8791
2012-07-20,77.9691
2012-07-19,77.965
2012-07-18,77.8659
2012-07-17,77.9456
2012-07-16,78.1061
2012-07-15,78.0432
2012-07-14,77.8819
2012-07-13,77.7875
2012-07-12,77.8413
2012-07-11,77.9707
2012-07-10,78.0918
2012-07-09,78.284
2012-07-08,78.284
2012-07-07,78.6352
2012-07-06,78.7993
2012-07-05,78.7017
2012-07-04,78.4612
2012-07-03,78.3421
2012-07-02,78.149
