Date,CURRFX.EURCHF.1
2011-07-29,1.15278
2011-07-28,1.15974
2011-07-27,1.16157
2011-07-26,1.16707
2011-07-25,1.17389
2011-07-22,1.16956
2011-07-21,1.16335
2011-07-20,1.15427
2011-07-19,1.14911
2011-07-18,1.15432
2011-07-15,1.15921
2011-07-14,1.16486
2011-07-13,1.17281
2011-07-12,1.18636
2011-07-11,1.19817
2011-07-08,1.20677
2011-07-07,1.21426
2011-07-06,1.22807
2011-07-05,1.2324
2011-07-04,1.22449
2011-07-01,1.20599
2011-06-30,1.19648
2011-06-29,1.19052
2011-06-28,1.18506
2011-06-27,1.18835
2011-06-24,1.20227
2011-06-23,1.20991
2011-06-22,1.2101
2011-06-21,1.2106
2011-06-20,1.21073
2011-06-17,1.20918
2011-06-16,1.21504
2011-06-15,1.21079
2011-06-14,1.20824
2011-06-13,1.2142
2011-06-10,1.22329
2011-06-09,1.22405
2011-06-08,1.22274
2011-06-07,1.22129
2011-06-06,1.21801
2011-06-03,1.21692
2011-06-02,1.22245
2011-06-01,1.22141
2011-05-31,1.21602
2011-05-30,1.22066
2011-05-27,1.23126
2011-05-26,1.23677
2011-05-25,1.24094
2011-05-24,1.2402
2011-05-23,1.24866
2011-05-20,1.25709
2011-05-19,1.25459
2011-05-18,1.25458
2011-05-17,1.25756
2011-05-16,1.2599
2011-05-13,1.26138
2011-05-12,1.26243
2011-05-11,1.25787
2011-05-10,1.25823
2011-05-09,1.26453
2011-05-06,1.27542
2011-05-05,1.27925
2011-05-04,1.2818
2011-05-03,1.28323
2011-05-02,1.28577
2011-04-29,1.29058
2011-04-28,1.28477
2011-04-27,1.28514
2011-04-26,1.28861
2011-04-25,1.29025
2011-04-22,1.29057
2011-04-21,1.28815
2011-04-20,1.28141
2011-04-19,1.28432
2011-04-18,1.28945
2011-04-15,1.29468
2011-04-14,1.30019
2011-04-13,1.306
2011-04-12,1.31249
2011-04-11,1.31269
2011-04-08,1.31383
2011-04-07,1.31431
2011-04-06,1.31257
2011-04-05,1.31423
2011-04-04,1.30894
2011-04-01,1.29911
2011-03-31,1.29739
2011-03-30,1.29378
2011-03-29,1.2942
2011-03-28,1.29069
2011-03-25,1.28173
2011-03-24,1.28173
2011-03-23,1.28424
2011-03-22,1.28085
2011-03-21,1.27041
2011-03-18,1.26622
2011-03-17,1.28008
2011-03-16,1.28833
2011-03-15,1.29369
2011-03-14,1.29209
2011-03-11,1.29282
2011-03-10,1.29678
2011-03-09,1.29645
2011-03-08,1.2943
2011-03-07,1.29119
2011-03-04,1.2841
2011-03-03,1.2811
2011-03-02,1.28264
2011-03-01,1.27834
2011-02-28,1.27736
2011-02-25,1.28045
2011-02-24,1.28513
2011-02-23,1.28986
2011-02-22,1.29428
2011-02-21,1.29517
2011-02-18,1.30074
2011-02-17,1.30682
2011-02-16,1.31028
2011-02-15,1.31473
2011-02-14,1.3172
2011-02-11,1.31492
2011-02-10,1.31035
2011-02-09,1.30096
2011-02-08,1.29788
2011-02-07,1.29698
2011-02-04,1.29579
2011-02-03,1.29442
2011-02-02,1.29061
2011-02-01,1.28382
2011-01-31,1.28641
2011-01-28,1.293
2011-01-27,1.29125
2011-01-26,1.29564
2011-01-25,1.30301
2011-01-24,1.29943
2011-01-21,1.29083
2011-01-20,1.28848
2011-01-19,1.28427
2011-01-18,1.28688
2011-01-17,1.28526
2011-01-14,1.27268
2011-01-13,1.26234
2011-01-12,1.25349
2011-01-11,1.24842
2011-01-10,1.25478
2011-01-07,1.26544
2011-01-06,1.26111
2011-01-05,1.25255
2011-01-04,1.2481
2011-01-03,1.24968
2010-12-31,1.24765
2010-12-30,1.25259
2010-12-29,1.2596
2010-12-28,1.26263
2010-12-27,1.25803
2010-12-24,1.25196
2010-12-23,1.25665
2010-12-22,1.2669
2010-12-21,1.27419
2010-12-20,1.279
2010-12-17,1.28096
2010-12-16,1.28616
2010-12-15,1.29478
2010-12-14,1.29728
2010-12-13,1.30072
2010-12-10,1.3065
2010-12-09,1.30783
2010-12-08,1.30702
2010-12-07,1.30582
2010-12-06,1.30938
2010-12-03,1.31325
2010-12-02,1.3085
2010-12-01,1.31124
2010-11-30,1.32398
2010-11-29,1.32977
2010-11-26,1.33119
2010-11-25,1.33417
2010-11-24,1.34638
2010-11-23,1.35742
2010-11-22,1.3538
2010-11-19,1.3458
2010-11-18,1.34182
2010-11-17,1.34012
2010-11-16,1.34131
2010-11-15,1.33956
2010-11-12,1.33523
2010-11-11,1.33737
2010-11-10,1.34223
2010-11-09,1.34744
2010-11-08,1.35701
2010-11-05,1.37279
2010-11-04,1.37514
2010-11-03,1.3743
2010-11-02,1.3743
2010-11-01,1.36898
2010-10-29,1.3657
2010-10-28,1.36269
2010-10-27,1.36127
2010-10-26,1.36127
2010-10-25,1.35766
2010-10-22,1.34423
2010-10-21,1.33756
2010-10-20,1.33722
2010-10-19,1.33767
2010-10-18,1.34017
2010-10-15,1.33871
2010-10-14,1.33561
2010-10-13,1.33584
2010-10-12,1.34158
2010-10-11,1.34241
2010-10-08,1.34072
2010-10-07,1.33664
2010-10-06,1.33491
2010-10-05,1.33806
2010-10-04,1.33901
2010-10-01,1.33111
2010-09-30,1.32719
2010-09-29,1.32502
2010-09-28,1.32604
2010-09-27,1.32253
