Date,YAHOO.INDEX_AORD.4
2012-06-14,4089.8
2012-06-13,4111.5
2012-06-12,4118.3
2012-06-08,4111.2
2012-06-07,4156.7
2012-06-06,4104.7
2012-06-05,4092.4
2012-06-04,4033.4
2012-06-01,4116.9
2012-05-31,4133.7
2012-05-30,4148.7
2012-05-29,4168.2
2012-05-28,4120.2
2012-05-25,4081.2
2012-05-24,4106.2
2012-05-23,4118.8
2012-05-22,4173.5
2012-05-21,4124.4
2012-05-18,4098.8
2012-05-17,4208.5
2012-05-16,4214.7
2012-05-15,4316.3
2012-05-14,4351.9
2012-05-11,4342.7
2012-05-10,4353.8
2012-05-09,4332.2
2012-05-08,4375.9
2012-05-07,4361.6
2012-05-04,4459.4
2012-05-03,4494.5
2012-05-02,4504.8
2012-05-01,4497.3
2012-04-30,4467.2
2012-04-27,4433.4
2012-04-26,4445.0
2012-04-24,4433.9
2012-04-23,4430.3
2012-04-20,4444.4
2012-04-19,4441.3
2012-04-18,4427.2
2012-04-17,4368.8
2012-04-16,4382.5
2012-04-13,4404.2
2012-04-12,4361.7
2012-04-11,4327.3
2012-04-10,4373.7
2012-04-05,4402.3
2012-04-04,4418.9
2012-04-03,4424.4
2012-04-02,4416.4
2012-03-30,4420.0
2012-03-29,4422.0
2012-03-28,4431.5
2012-03-27,4391.6
2012-03-26,4355.2
2012-03-23,4360.7
2012-03-22,4364.9
2012-03-21,4347.0
2012-03-20,4365.6
2012-03-19,4381.2
2012-03-16,4364.7
2012-03-15,4366.9
2012-03-14,4375.6
2012-03-13,4336.5
2012-03-12,4288.2
2012-03-09,4300.5
2012-03-08,4262.2
2012-03-07,4234.4
2012-03-06,4295.5
2012-03-05,4354.2
2012-03-02,4364.1
2012-03-01,4346.0
2012-02-29,4388.1
2012-02-28,4351.2
2012-02-27,4354.5
2012-02-24,4389.0
2012-02-23,4367.5
2012-02-22,4372.1
2012-02-21,4368.2
2012-02-20,4332.8
2012-02-17,4273.3
2012-02-16,4257.2
2012-02-15,4327.4
2012-02-14,4318.9
2012-02-13,4359.4
2012-02-10,4322.6
2012-02-09,4357.1
2012-02-08,4363.7
2012-02-07,4344.9
2012-02-06,4364.6
2012-02-03,4320.1
2012-02-02,4333.2
2012-02-01,4291.0
2012-01-31,4325.7
2012-01-30,4334.4
2012-01-27,4348.5
2012-01-25,4329.1
2012-01-24,4286.4
2012-01-23,4287.6
2012-01-20,4303.0
2012-01-19,4278.6
2012-01-18,4280.6
2012-01-17,4277.7
2012-01-16,4208.9
2012-01-13,4255.4
2012-01-12,4238.4
2012-01-11,4242.9
2012-01-10,4206.6
2012-01-09,4161.5
2012-01-06,4164.5
2012-01-05,4196.6
2012-01-04,4239.5
2012-01-03,4155.2
2011-12-30,4111.0
2011-12-29,4123.1
2011-12-28,4141.7
2011-12-23,4192.1
2011-12-22,4142.2
2011-12-21,4190.2
2011-12-20,4107.1
2011-12-19,4113.9
2011-12-16,4218.8
2011-12-15,4197.8
2011-12-14,4249.8
2011-12-13,4251.7
2011-12-12,4311.4
2011-12-09,4264.1
2011-12-08,4338.9
2011-12-07,4351.3
2011-12-06,4321.6
2011-12-05,4379.5
2011-12-02,4346.3
2011-12-01,4288.1
2011-11-30,4184.7
2011-11-29,4167.3
2011-11-28,4125.8
2011-11-25,4057.6
2011-11-24,4115.3
2011-11-23,4125.8
2011-11-22,4204.2
2011-11-21,4233.6
2011-11-18,4246.7
2011-11-17,4324.1
2011-11-16,4313.8
2011-11-15,4351.5
2011-11-14,4369.1
2011-11-11,4358.6
2011-11-10,4307.3
2011-11-09,4406.2
2011-11-08,4356.7
2011-11-07,4335.3
2011-11-04,4342.5
2011-11-03,4237.5
2011-11-02,4251.3
2011-11-01,4297.2
2011-10-31,4360.5
2011-10-28,4411.4
2011-10-27,4403.9
2011-10-26,4300.8
2011-10-25,4287.7
2011-10-24,4313.6
2011-10-21,4203.4
2011-10-20,4206.8
2011-10-19,4274.8
2011-10-18,4249.5
2011-10-17,4337.9
2011-10-14,4269.0
2011-10-13,4306.0
2011-10-12,4266.4
2011-10-11,4288.8
2011-10-10,4262.3
2011-10-07,4225.0
2011-10-06,4132.1
2011-10-05,3992.5
2011-10-04,3935.6
2011-10-03,3960.7
2011-09-30,4070.1
2011-09-29,4067.9
2011-09-28,4097.7
2011-09-27,4063.5
2011-09-26,3927.6
2011-09-23,3978.5
2011-09-22,4044.7
2011-09-21,4153.6
2011-09-20,4124.8
2011-09-19,4164.1
2011-09-16,4229.9
2011-09-15,4153.2
2011-09-14,4090.4
2011-09-13,4158.4
2011-09-12,4125.1
2011-09-09,4277.4
2011-09-08,4269.8
2011-09-07,4262.9
2011-09-06,4160.7
2011-09-05,4224.2
2011-09-02,4321.5
2011-09-01,4382.7
2011-08-31,4369.9
2011-08-30,4341.4
2011-08-29,4333.7
2011-08-26,4271.0
2011-08-25,4280.5
2011-08-24,4235.7
2011-08-23,4239.8
2011-08-22,4150.8
2011-08-19,4171.9
2011-08-18,4319.4
2011-08-17,4371.8
2011-08-16,4317.3
2011-08-15,4346.8
2011-08-12,4237.9
2011-08-11,4203.5
2011-08-10,4207.4
2011-08-09,4096.7
2011-08-08,4056.7
2011-08-05,4169.7
2011-08-04,4352.9
2011-08-03,4408.3
2011-08-02,4510.3
2011-08-01,4573.1
2011-07-29,4500.5
2011-07-28,4539.2
2011-07-27,4612.6
2011-07-26,4646.3
2011-07-25,4603.8
2011-07-22,4674.1
2011-07-21,4626.2
2011-07-20,4618.4
2011-07-19,4539.4
2011-07-18,4539.9
2011-07-15,4542.7
2011-07-14,4561.3
2011-07-13,4583.2
2011-07-12,4563.5
2011-07-11,4646.8
2011-07-08,4716.0
2011-07-07,4666.1
2011-07-06,4663.6
2011-07-05,4656.9
2011-07-04,4670.4
2011-07-01,4647.9
2011-06-30,4659.8
2011-06-29,4579.8
2011-06-28,4523.2
2011-06-27,4513.8
2011-06-24,4565.0
2011-06-23,4561.4
2011-06-22,4590.8
2011-06-21,4565.2
2011-06-20,4512.5
2011-06-17,4551.1
2011-06-16,4546.7
2011-06-15,4635.4
2011-06-14,4651.1
2011-06-10,4634.9
2011-06-09,4621.7
2011-06-08,4608.7
2011-06-07,4641.1
2011-06-06,4648.7
2011-06-03,4666.6
2011-06-02,4683.2
2011-06-01,4788.6
2011-05-31,4788.9
2011-05-30,4746.1
2011-05-27,4760.3
2011-05-26,4735.1
2011-05-25,4661.6
2011-05-24,4708.3
2011-05-23,4722.9
2011-05-20,4807.7
2011-05-19,4828.2
2011-05-18,4765.3
2011-05-17,4753.0
2011-05-16,4724.2
2011-05-13,4787.3
2011-05-12,4776.6
2011-05-11,4858.2
2011-05-10,4803.6
2011-05-09,4831.7
2011-05-06,4816.1
2011-05-05,4828.9
2011-05-04,4813.8
2011-05-03,4854.7
2011-05-02,4896.2
2011-04-29,4899.0
2011-04-28,4952.3
2011-04-27,4954.0
2011-04-21,4995.7
2011-04-20,4940.2
2011-04-19,4874.3
2011-04-18,4945.4
2011-04-15,4939.3
2011-04-14,4972.4
2011-04-13,4999.6
2011-04-12,4990.2
2011-04-11,5064.9
2011-04-08,5036.5
2011-04-07,5005.5
2011-04-06,5011.4
2011-04-05,4998.6
2011-04-04,4984.7
2011-04-01,4954.6
2011-03-31,4928.6
2011-03-30,4912.7
2011-03-29,4851.2
2011-03-28,4831.9
2011-03-25,4840.3
2011-03-24,4794.2
2011-03-23,4746.5
2011-03-22,4737.7
2011-03-21,4734.1
2011-03-18,4715.8
2011-03-17,4638.4
2011-03-16,4644.0
2011-03-15,4609.9
2011-03-14,4710.1
2011-03-11,4734.8
2011-03-10,4791.3
2011-03-09,4863.2
2011-03-08,4902.5
2011-03-07,4895.9
2011-03-04,4958.6
2011-03-03,4902.8
2011-03-02,4898.3
2011-03-01,4920.4
2011-02-28,4923.6
