Date,CURRFX.EURUSD.1
2011-12-09,1.33911
2011-12-08,1.33978
2011-12-07,1.34011
2011-12-06,1.34167
2011-12-05,1.34207
2011-12-02,1.34256
2011-12-01,1.33524
2011-11-30,1.33338
2011-11-29,1.32959
2011-11-28,1.32912
2011-11-25,1.33879
2011-11-24,1.346
2011-11-23,1.35043
2011-11-22,1.35075
2011-11-21,1.35058
2011-11-18,1.34835
2011-11-17,1.35282
2011-11-16,1.3625
2011-11-15,1.3725
2011-11-14,1.36877
2011-11-11,1.36247
2011-11-10,1.37401
2011-11-09,1.37716
2011-11-08,1.37719
2011-11-07,1.37712
2011-11-04,1.37477
2011-11-03,1.37477
2011-11-02,1.38528
2011-11-01,1.40632
2011-10-31,1.41047
2011-10-28,1.39898
2011-10-27,1.39096
2011-10-26,1.39045
2011-10-25,1.38858
2011-10-24,1.38321
2011-10-21,1.37607
2011-10-20,1.37679
2011-10-19,1.37674
2011-10-18,1.38423
2011-10-17,1.38356
2011-10-14,1.37473
2011-10-13,1.36833
2011-10-12,1.35982
2011-10-11,1.34762
2011-10-10,1.33695
2011-10-07,1.33437
2011-10-06,1.32799
2011-10-05,1.32527
2011-10-04,1.33419
2011-10-03,1.34619
2011-09-30,1.35972
2011-09-29,1.35822
2011-09-28,1.35224
2011-09-27,1.34792
2011-09-26,1.35075
2011-09-23,1.35818
2011-09-22,1.36803
2011-09-21,1.36621
2011-09-20,1.37119
2011-09-19,1.37918
2011-09-16,1.37518
2011-09-15,1.36811
2011-09-14,1.3644
2011-09-13,1.36172
2011-09-12,1.3791
2011-09-09,1.40336
2011-09-08,1.40586
2011-09-07,1.40928
2011-09-06,1.4158
2011-09-05,1.42458
2011-09-02,1.43561
2011-09-01,1.44419
2011-08-31,1.44835
2011-08-30,1.4504
2011-08-29,1.44657
2011-08-26,1.4415
2011-08-25,1.442
2011-08-24,1.44006
2011-08-23,1.43884
2011-08-22,1.43884
2011-08-19,1.43928
2011-08-18,1.44164
2011-08-17,1.43849
2011-08-16,1.43114
