Date,CURRFX.GBPCAD.1
2011-04-01,1.56022
2011-03-31,1.55982
2011-03-30,1.56355
2011-03-29,1.56911
2011-03-28,1.57747
2011-03-25,1.59135
2011-03-24,1.60018
2011-03-23,1.59661
2011-03-22,1.59508
2011-03-21,1.59514
2011-03-18,1.58798
2011-03-17,1.58241
2011-03-16,1.57607
2011-03-15,1.56678
2011-03-14,1.56605
2011-03-11,1.56844
2011-03-10,1.57119
2011-03-09,1.57631
2011-03-08,1.58153
2011-03-07,1.58447
2011-03-04,1.58629
2011-03-03,1.58478
2011-03-02,1.58107
2011-03-01,1.57759
2011-02-28,1.58303
2011-02-25,1.59862
2011-02-24,1.60002
2011-02-23,1.59552
2011-02-22,1.6006
2011-02-21,1.59797
2011-02-18,1.58845
2011-02-17,1.58993
2011-02-16,1.58623
2011-02-15,1.58162
2011-02-14,1.58905
2011-02-11,1.6006
2011-02-10,1.59762
2011-02-09,1.5947
2011-02-08,1.59193
2011-02-07,1.59423
2011-02-04,1.59998
2011-02-03,1.60092
2011-02-02,1.59873
2011-02-01,1.58997
2011-01-31,1.58618
2011-01-28,1.58208
2011-01-27,1.57955
2011-01-26,1.58448
2011-01-25,1.58877
2011-01-24,1.58961
2011-01-21,1.58916
2011-01-20,1.58271
2011-01-19,1.57335
2011-01-18,1.57011
2011-01-17,1.56728
2011-01-14,1.5541
2011-01-13,1.54604
2011-01-12,1.54526
2011-01-11,1.54489
2011-01-10,1.54395
2011-01-07,1.54676
2011-01-06,1.5504
2011-01-05,1.54405
2011-01-04,1.54637
2011-01-03,1.55306
2010-12-31,1.54504
2010-12-30,1.54384
2010-12-29,1.55034
2010-12-28,1.55518
2010-12-27,1.55782
2010-12-24,1.56282
2010-12-23,1.57204
2010-12-22,1.57655
2010-12-21,1.57433
2010-12-20,1.57136
2010-12-17,1.57075
2010-12-16,1.58524
2010-12-15,1.59423
2010-12-14,1.5934
2010-12-13,1.59472
2010-12-10,1.59452
2010-12-09,1.59036
2010-12-08,1.58298
2010-12-07,1.58151
2010-12-06,1.58235
2010-12-03,1.58485
2010-12-02,1.59132
2010-12-01,1.58948
2010-11-30,1.59063
2010-11-29,1.59165
2010-11-26,1.59745
2010-11-25,1.61317
2010-11-24,1.62373
2010-11-23,1.62488
2010-11-22,1.62617
2010-11-19,1.62642
2010-11-18,1.62352
2010-11-17,1.62361
2010-11-16,1.62783
2010-11-15,1.6257
2010-11-12,1.61405
2010-11-11,1.61218
2010-11-10,1.61673
2010-11-09,1.61832
2010-11-08,1.62159
2010-11-05,1.62443
2010-11-04,1.6212
2010-11-03,1.6258
2010-11-02,1.63357
2010-11-01,1.63177
2010-10-29,1.62606
2010-10-28,1.62306
2010-10-27,1.61278
2010-10-26,1.60586
2010-10-25,1.60955
2010-10-22,1.61469
2010-10-21,1.61975
2010-10-20,1.61859
2010-10-19,1.61741
2010-10-18,1.61123
2010-10-15,1.60013
2010-10-14,1.59816
2010-10-13,1.60716
2010-10-12,1.612
2010-10-11,1.61298
2010-10-08,1.61111
2010-10-07,1.61296
2010-10-06,1.61783
2010-10-05,1.61501
2010-10-04,1.61849
2010-10-01,1.62741
2010-09-30,1.62856
2010-09-29,1.62827
2010-09-28,1.62251
2010-09-27,1.62012
