Date,CURRFX.EURGBP.1
2012-01-02,0.834986
2011-12-30,0.836553
2011-12-29,0.835047
2011-12-28,0.83563
2011-12-27,0.836546
2011-12-26,0.835507
2011-12-23,0.833407
2011-12-22,0.835596
2011-12-21,0.837969
2011-12-20,0.839308
2011-12-19,0.839257
2011-12-16,0.840095
2011-12-15,0.842383
2011-12-14,0.847272
2011-12-13,0.852195
2011-12-12,0.853812
2011-12-09,0.854809
2011-12-08,0.857268
2011-12-07,0.857693
2011-12-06,0.858788
2011-12-05,0.858239
2011-12-02,0.856496
2011-12-01,0.855754
2011-11-30,0.857794
2011-11-29,0.858299
2011-11-28,0.858477
2011-11-25,0.860949
2011-11-24,0.862464
2011-11-23,0.862059
2011-11-22,0.858104
2011-11-21,0.855837
2011-11-18,0.855652
2011-11-17,0.855318
2011-11-16,0.85611
2011-11-15,0.856754
2011-11-14,0.854462
2011-11-11,0.853564
2011-11-10,0.856538
2011-11-09,0.857867
2011-11-08,0.859216
2011-11-07,0.860465
2011-11-04,0.860802
2011-11-03,0.859941
2011-11-02,0.86434
2011-11-01,0.874454
2011-10-31,0.876885
2011-10-28,0.873572
2011-10-27,0.869916
2011-10-26,0.870062
2011-10-25,0.870298
2011-10-24,0.871402
2011-10-21,0.873335
2011-10-20,0.873877
2011-10-19,0.8736
2011-10-18,0.87611
2011-10-17,0.876429
2011-10-14,0.875155
2011-10-13,0.87428
2011-10-12,0.870181
2011-10-11,0.864019
2011-10-10,0.862334
2011-10-07,0.864719
2011-10-06,0.860471
2011-10-05,0.857651
2011-10-04,0.858371
2011-10-03,0.86288
2011-09-30,0.870049
2011-09-29,0.869529
2011-09-28,0.869062
2011-09-27,0.870698
2011-09-26,0.874186
2011-09-23,0.874932
2011-09-22,0.872354
2011-09-21,0.870227
2011-09-20,0.871459
2011-09-19,0.871404
2011-09-16,0.871404
2011-09-15,0.866267
2011-09-14,0.861857
2011-09-13,0.859387
2011-09-12,0.866341
2011-09-09,0.878414
2011-09-08,0.878436
2011-09-07,0.876129
2011-09-06,0.875817
2011-09-05,0.87891
2011-09-02,0.883884
2011-09-01,0.885152
2011-08-31,0.885083
2011-08-30,0.885554
2011-08-29,0.884228
2011-08-26,0.87948
2011-08-25,0.875387
2011-08-24,0.873235
2011-08-23,0.873335
2011-08-22,0.873073
2011-08-19,0.872531
2011-08-18,0.876796
2011-08-17,0.879044
2011-08-16,0.877581
2011-08-15,0.876483
2011-08-12,0.879272
2011-08-11,0.877981
2011-08-10,0.872165
2011-08-09,0.871122
2011-08-08,0.871319
2011-08-05,0.871459
2011-08-04,0.872586
2011-08-03,0.87411
2011-08-02,0.876017
2011-08-01,0.876826
2011-07-29,0.879436
2011-07-28,0.882985
2011-07-27,0.883513
2011-07-26,0.881588
2011-07-25,0.880913
2011-07-22,0.88059
2011-07-21,0.87906
2011-07-20,0.877148
2011-07-19,0.875894
2011-07-18,0.878285
2011-07-15,0.879785
2011-07-14,0.879835
2011-07-13,0.881713
2011-07-12,0.885896
2011-07-11,0.891131
2011-07-08,0.896392
2011-07-07,0.898552
2011-07-06,0.901967
2011-07-05,0.90375
2011-07-04,0.903369
2011-07-01,0.900809
2011-06-30,0.897243
2011-06-29,0.893331
2011-06-28,0.889294
2011-06-27,0.889509
2011-06-24,0.890083
2011-06-23,0.88828
2011-06-22,0.884367
2011-06-21,0.882978
2011-06-20,0.880936
2011-06-17,0.877375
2011-06-16,0.879908
2011-06-15,0.881431
2011-06-14,0.883059
2011-06-13,0.885914
2011-06-10,0.890311
2011-06-09,0.892092
2011-06-08,0.892092
2011-06-07,0.891129
2011-06-06,0.887598
2011-06-03,0.87979
2011-06-02,0.875173
2011-06-01,0.87006
