Date,CURRFX.EURAUD.1
2012-08-08,1.17335
2012-08-07,1.17254
2012-08-06,1.17011
2012-08-03,1.16845
2012-08-02,1.16985
2012-08-01,1.1694
2012-07-31,1.17269
2012-07-30,1.17642
2012-07-27,1.17922
2012-07-26,1.17936
2012-07-25,1.1776
2012-07-24,1.17455
2012-07-23,1.17465
2012-07-20,1.18361
2012-07-19,1.1909
2012-07-18,1.19497
2012-07-17,1.19698
2012-07-16,1.19927
2012-07-13,1.20045
2012-07-12,1.2008
2012-07-11,1.20522
2012-07-10,1.20537
2012-07-09,1.20721
2012-07-06,1.21682
2012-07-05,1.2239
2012-07-04,1.22846
2012-07-03,1.23353
2012-07-02,1.23693
2012-06-29,1.23837
2012-06-28,1.24209
2012-06-27,1.24688
2012-06-26,1.24935
2012-06-25,1.24827
2012-06-22,1.24634
2012-06-21,1.24509
2012-06-20,1.24699
2012-06-19,1.25263
2012-06-18,1.25717
2012-06-15,1.26102
2012-06-14,1.25919
2012-06-13,1.26208
2012-06-12,1.26344
2012-06-11,1.26357
2012-06-08,1.26646
2012-06-07,1.27322
2012-06-06,1.28152
2012-06-05,1.28325
2012-06-04,1.27862
2012-06-01,1.2734
2012-05-31,1.27281
2012-05-30,1.27364
2012-05-29,1.27857
2012-05-28,1.28482
2012-05-25,1.29103
2012-05-24,1.29392
2012-05-23,1.29319
2012-05-22,1.29731
2012-05-21,1.29226
2012-05-18,1.28141
2012-05-17,1.28301
2012-05-16,1.28553
2012-05-15,1.28779
2012-05-14,1.28595
2012-05-11,1.28449
2012-05-10,1.28582
2012-05-09,1.28184
2012-05-08,1.28199
2012-05-07,1.28233
2012-05-04,1.27751
2012-05-03,1.27749
2012-05-02,1.2747
2012-05-01,1.2673
2012-04-30,1.26912
2012-04-27,1.27631
2012-04-26,1.27887
2012-04-25,1.27817
2012-04-24,1.27462
2012-04-23,1.27122
2012-04-20,1.26584
2012-04-19,1.26445
2012-04-18,1.26499
2012-04-17,1.26131
2012-04-16,1.26274
2012-04-13,1.2687
2012-04-12,1.27354
2012-04-11,1.27186
2012-04-10,1.27063
2012-04-09,1.27207
2012-04-06,1.27687
2012-04-05,1.28221
2012-04-04,1.28191
2012-04-03,1.28368
2012-04-02,1.28642
2012-03-30,1.28224
2012-03-29,1.27584
2012-03-28,1.26875
2012-03-27,1.26738
2012-03-26,1.26832
2012-03-23,1.2673
2012-03-22,1.26061
2012-03-21,1.25085
2012-03-20,1.24417
2012-03-19,1.24438
2012-03-16,1.24425
2012-03-15,1.24501
2012-03-14,1.24679
2012-03-13,1.24447
2012-03-12,1.24213
2012-03-09,1.24403
2012-03-08,1.24314
2012-03-07,1.23899
2012-03-06,1.23246
2012-03-05,1.23287
2012-03-02,1.24032
2012-03-01,1.24552
2012-02-29,1.25072
2012-02-28,1.25593
2012-02-27,1.25335
2012-02-24,1.24484
2012-02-23,1.24092
2012-02-22,1.23365
2012-02-21,1.22761
2012-02-20,1.22371
2012-02-17,1.22081
2012-02-16,1.2262
2012-02-15,1.23133
2012-02-14,1.2343
2012-02-13,1.23391
2012-02-10,1.22866
2012-02-09,1.2249
2012-02-08,1.22098
2012-02-07,1.22098
2012-02-06,1.2239
2012-02-03,1.22891
2012-02-02,1.23317
2012-02-01,1.23942
2012-01-31,1.24201
2012-01-30,1.23847
2012-01-27,1.23621
2012-01-26,1.23945
2012-01-25,1.23736
2012-01-24,1.23247
2012-01-23,1.23507
2012-01-20,1.23551
2012-01-19,1.22915
2012-01-18,1.22731
2012-01-17,1.22859
2012-01-16,1.23085
2012-01-13,1.23625
2012-01-12,1.23815
2012-01-11,1.24312
2012-01-10,1.24606
2012-01-09,1.24604
2012-01-06,1.25232
2012-01-05,1.25801
2012-01-04,1.26248
2012-01-03,1.26718
2012-01-02,1.2736
2011-12-30,1.28201
2011-12-29,1.28523
2011-12-28,1.28622
2011-12-27,1.28587
2011-12-26,1.28821
2011-12-23,1.2923
2011-12-22,1.29863
2011-12-21,1.30804
2011-12-20,1.3087
2011-12-19,1.30828
2011-12-16,1.30839
2011-12-15,1.30444
2011-12-14,1.30769
2011-12-13,1.31091
2011-12-12,1.30839
2011-12-09,1.30541
2011-12-08,1.30705
2011-12-07,1.30923
2011-12-06,1.31021
2011-12-05,1.31279
2011-12-02,1.31901
2011-12-01,1.32914
2011-11-30,1.34181
2011-11-29,1.35398
2011-11-28,1.36686
2011-11-25,1.37434
2011-11-24,1.37437
2011-11-23,1.36726
2011-11-22,1.35717
2011-11-21,1.34722
2011-11-18,1.3372
2011-11-17,1.3333
2011-11-16,1.33497
2011-11-15,1.33696
2011-11-14,1.33836
2011-11-11,1.33676
2011-11-10,1.33321
2011-11-09,1.33097
2011-11-08,1.32924
2011-11-07,1.33044
2011-11-04,1.33057
2011-11-03,1.32523
2011-11-02,1.3223
2011-11-01,1.3227
2011-10-31,1.3242
2011-10-28,1.33231
2011-10-27,1.3361
2011-10-26,1.33207
2011-10-25,1.33661
2011-10-24,1.34135
2011-10-21,1.3434
2011-10-20,1.34348
2011-10-19,1.34637
2011-10-18,1.34351
2011-10-17,1.34674
2011-10-14,1.35806
2011-10-13,1.36619
2011-10-12,1.36851
2011-10-11,1.36912
2011-10-10,1.3731
2011-10-07,1.38392
2011-10-06,1.39232
2011-10-05,1.39012
2011-10-04,1.38364
2011-10-03,1.38638
2011-09-30,1.3838
2011-09-29,1.37418
2011-09-28,1.37455
2011-09-27,1.37984
2011-09-26,1.3732
2011-09-23,1.35416
2011-09-22,1.33665
2011-09-21,1.33427
2011-09-20,1.33333
2011-09-19,1.33568
2011-09-16,1.33956
2011-09-15,1.33005
2011-09-14,1.31986
2011-09-13,1.31065
2011-09-12,1.31052
2011-09-09,1.32314
2011-09-08,1.33006
2011-09-07,1.33621
2011-09-06,1.33584
2011-09-05,1.33554
2011-09-02,1.34159
2011-09-01,1.35239
2011-08-31,1.36019
2011-08-30,1.36836
2011-08-29,1.3736
2011-08-26,1.37689
2011-08-25,1.37607
2011-08-24,1.3783
2011-08-23,1.3817
2011-08-22,1.37995
2011-08-19,1.37322
2011-08-18,1.37369
2011-08-17,1.37636
2011-08-16,1.37535
2011-08-15,1.38003
2011-08-12,1.3875
2011-08-11,1.39308
2011-08-10,1.39261
2011-08-09,1.37538
2011-08-08,1.35814
2011-08-05,1.33515
2011-08-04,1.31874
2011-08-03,1.30463
2011-08-02,1.30509
2011-08-01,1.30551
2011-07-29,1.30419
2011-07-28,1.31665
2011-07-27,1.32553
2011-07-26,1.32538
2011-07-25,1.32486
2011-07-22,1.32463
2011-07-21,1.32309
2011-07-20,1.32646
2011-07-19,1.32757
2011-07-18,1.32613
2011-07-15,1.3198
2011-07-14,1.31743
2011-07-13,1.31932
2011-07-12,1.32313
2011-07-11,1.32908
2011-07-08,1.33737
2011-07-07,1.34773
2011-07-06,1.35306
2011-07-05,1.3513
2011-07-04,1.34949
2011-07-01,1.35389
2011-06-30,1.3611
2011-06-29,1.3634
2011-06-28,1.35682
2011-06-27,1.35339
2011-06-24,1.35559
2011-06-23,1.35727
2011-06-22,1.35462
2011-06-21,1.3492
2011-06-20,1.34501
2011-06-17,1.34314
2011-06-16,1.34886
2011-06-15,1.35759
2011-06-14,1.36045
2011-06-13,1.36649
2011-06-10,1.37431
2011-06-09,1.37136
