Date,CURRFX.AUDJPY.1
2011-03-29,83.695
2011-03-28,83.0025
2011-03-25,82.0607
2011-03-24,81.733
2011-03-23,81.5226
2011-03-22,80.843
2011-03-21,79.266
2011-03-18,78.3337
2011-03-17,80.2295
2011-03-16,81.5389
2011-03-15,82.7409
2011-03-14,83.0993
2011-03-11,83.3737
2011-03-10,83.4806
2011-03-09,83.3856
2011-03-08,83.3856
2011-03-07,83.3928
2011-03-04,83.168
2011-03-03,83.1431
2011-03-02,83.2966
2011-03-01,83.0971
2011-02-28,82.8774
2011-02-25,82.6163
2011-02-24,82.9867
2011-02-23,83.5858
2011-02-22,84.1907
2011-02-21,84.214
2011-02-18,83.8503
2011-02-17,83.6658
2011-02-16,83.6394
2011-02-15,83.5713
2011-02-14,83.476
2011-02-11,83.3343
2011-02-10,83.4239
2011-02-09,83.3829
2011-02-08,83.3829
2011-02-07,83.0528
2011-02-04,82.5103
2011-02-03,82.2507
2011-02-02,81.9053
2011-02-01,81.564
2011-01-31,81.7793
2011-01-28,82.0219
2011-01-27,81.9413
2011-01-26,81.9719
2011-01-25,81.8979
2011-01-24,81.7674
2011-01-21,82.0511
2011-01-20,82.3724
2011-01-19,82.1834
2011-01-18,82.0267
2011-01-17,82.2105
2011-01-14,82.5151
2011-01-13,82.1764
2011-01-12,82.1671
2011-01-11,82.6027
2011-01-10,82.869
2011-01-07,82.8042
2011-01-06,82.6577
2011-01-05,82.8887
2011-01-04,83.0336
2011-01-03,82.9938
2010-12-31,82.9591
2010-12-30,83.1223
2010-12-29,83.1223
2010-12-28,83.1359
2010-12-27,83.271
2010-12-24,83.3918
2010-12-23,83.4178
2010-12-22,83.2468
2010-12-21,83.0171
2010-12-20,83.0341
2010-12-17,83.2059
2010-12-16,83.2789
2010-12-15,83.0928
2010-12-14,82.8665
2010-12-13,82.6586
2010-12-10,82.431
2010-12-09,82.1537
2010-12-08,81.9625
2010-12-07,81.9029
2010-12-06,81.7522
2010-12-03,81.1138
2010-12-02,80.6507
2010-12-01,80.8321
2010-11-30,81.0836
2010-11-29,81.3925
2010-11-26,81.7772
2010-11-25,81.616
2010-11-24,82.041
2010-11-23,82.528
2010-11-22,82.293
2010-11-19,81.8743
2010-11-18,81.5335
2010-11-17,81.6734
2010-11-16,81.5353
2010-11-15,81.6806
2010-11-12,82.3875
2010-11-11,82.1504
2010-11-10,82.0611
2010-11-09,82.3353
2010-11-08,82.1849
2010-11-05,81.2802
2010-11-04,80.5834
2010-11-03,80.0322
2010-11-02,79.3432
2010-11-01,79.2022
2010-10-29,79.3724
2010-10-28,79.6394
2010-10-27,80.1834
2010-10-26,80.1441
2010-10-25,79.9213
2010-10-22,79.7293
2010-10-21,79.7168
2010-10-20,80.007
2010-10-19,80.4307
2010-10-18,80.7729
2010-10-15,80.8953
2010-10-14,80.7528
2010-10-13,80.5692
2010-10-12,80.7825
2010-10-11,80.9498
2010-10-08,81.1506
2010-10-07,80.7276
2010-10-06,80.4802
2010-10-05,80.7796
2010-10-04,80.8651
2010-10-01,80.8791
2010-09-30,81.0652
2010-09-29,80.9292
2010-09-28,80.8586
2010-09-27,80.6292
2010-09-24,80.5701
2010-09-23,80.8953
2010-09-22,80.9868
2010-09-21,80.8036
2010-09-20,80.2934
2010-09-17,80.1366
2010-09-16,79.3236
2010-09-15,78.0868
2010-09-14,78.1734
2010-09-13,77.768
2010-09-10,77.1419
2010-09-09,76.6705
2010-09-08,76.7517
